id,event_type,latitude,longitude,endlatitude,endlongitude,address,end_address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,modified_datetime,map_file,direction,description,veh_type,veh_no,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,route_path,client_id,created_by_id,last_modified_by_id,assigned_to_police_id,citizen_accident_id,comment,police_station,meta_data,kgid,resolved_at_address,resolved_at_latitude,resolved_at_longitude,closed_by_id,closed_datetime,resolved_by_id,resolved_datetime,gba_identifier,zone,junction
FKID000000,unplanned,13.0400041,77.5180991,0,0,"Mumbai Bengaluru Highway, Jalahalli Cross Junction, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",,vehicle_breakdown,FALSE,2024-03-07 17:01:48.111+00,NULL,closed,yes,2024-03-07 19:35:47.871698+00,,,s m circle in coming  man track,lcv,FKN00GL0000,Tumkur Road,High,NULL,NULL,NULL,2024-03-07 17:03:51.164032+00,NULL,1,FKUSR00000,FKUSR00001,NULL,NULL,NULL,Peenya,NULL,FKKG000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000001,unplanned,12.9218755,77.6451585,0,0,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",,vehicle_breakdown,FALSE,2024-01-30 04:07:24.173+00,NULL,resolved,yes,2024-01-30 04:17:46.828979+00,,,Starting problem,heavy_vehicle,FKN00GL0001,ORR East 1,High,NULL,NULL,NULL,2024-01-30 04:08:22.954979+00,NULL,1,FKUSR00002,FKUSR00001,NULL,NULL,NULL,HSR Layout,NULL,FKKG000001,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",12.9218755,77.6451585,NULL,NULL,FKUSR00002,2024-01-30 04:17:46.828355+00,NULL,NULL,NULL
FKID000002,unplanned,12.955622,77.5857083,0,0,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",,others,FALSE,2023-11-11 06:18:03.343+00,NULL,closed,yes,2024-01-30 04:56:03.282003+00,,,ಊರ್ವಶಿ ಜಂಕ್ಷನ್ ನಲ್ಲಿ ಒಳಚರಂಡಿ ಚೇಂಬರ್ ಗೆ ಹೊಸದಾಗಿ ಸಿಮೆಂಟ್ ಹಾಕಿದ್ದು ಟ್ರಾಫಿಕ್ ಮೂವ್ಮೆಂಟ್ ಸ್ವಲ್ಪ ನಿಧಾನಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ ಸರ್🙏,,,Non-corridor,Low,NULL,NULL,NULL,2023-11-11 06:20:00.989398+00,NULL,1,FKUSR00003,FKUSR00001,NULL,NULL,NULL,Wilson Garden,NULL,FKKG000002,NULL,NULL,NULL,FKUSR00003,2024-01-30 04:56:03.281509+00,NULL,NULL,Bengaluru Central Corporation,Central Zone 2,UrvashiJunction
FKID000003,unplanned,13.0061469,77.5794348,13.0062394,77.5795156,"Sankey Road, Bashyam Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)","Sankey Road, Palace Orchard Upper, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",tree_fall,TRUE,2024-03-07 17:56:55.061+00,NULL,closed,yes,2024-03-14 07:42:05.55005+00,,,tree fall,,,Non-corridor,Low,NULL,NULL,NULL,2024-03-07 17:58:56.696892+00,NULL,1,FKUSR00004,FKUSR00001,NULL,NULL,NULL,Sadashivanagar,NULL,FKKG000003,NULL,NULL,NULL,FKUSR00004,2024-03-14 07:42:05.54944+00,NULL,NULL,NULL,NULL,NULL
FKID000004,unplanned,12.95398,77.5852333,0,0,"Lalbagh Fort Road, Lalbagh Main Gate Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",,vehicle_breakdown,FALSE,2024-01-30 04:56:32.348+00,NULL,closed,yes,2024-01-30 05:35:17.33908+00,,,[LOCATION] ಪೈಪ್ [PERSON] ವಾಹನ ಆಫ್ ಆಗಿರುತ್ತದೆ ಸರ್,private_bus,FKN00GL0002,Non-corridor,Low,NULL,NULL,NULL,2024-01-30 04:58:55.937662+00,NULL,1,FKUSR00003,FKUSR00001,NULL,NULL,NULL,Wilson Garden,NULL,FKKG000002,NULL,NULL,NULL,FKUSR00003,2024-01-30 05:35:17.338283+00,NULL,NULL,NULL,NULL,LalbaghMainGateJunc
FKID000005,unplanned,13.0664854,77.5998755,NULL,NULL,"Jakkur Layout, Amrutahalli, Amruthahalli, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560092, India",NULL,accident,FALSE,2023-11-28 03:07:27.292421+00,NULL,closed,yes,2023-11-28 04:35:48.24116+00,,NULL,NULL,NULL,NULL,Non-corridor,Low,NULL,NULL,NULL,2023-11-28 03:08:23.242047+00,NULL,1,FKUSR00005,FKUSR00001,FKUSR00005,FKUSR00006,NULL,Hebbala,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Bengaluru North Corporation,North Zone 1,NULL
FKID000006,unplanned,12.9328703,77.4879814,0,0,"Kengeri Main Road, Ambedkar Circle, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)",,vehicle_breakdown,FALSE,2024-01-30 07:26:26.739+00,NULL,closed,yes,2024-01-30 09:35:47.912868+00,,,ಬಿಎಂಟಿಸಿ ಬಸ್ ಕೆಟ್ಟು ನಿಂತಿದೆ ಸರ್,bmtc_bus,FKN00GL0003,Non-corridor,Low,NULL,NULL,NULL,2024-01-30 07:28:18.053017+00,NULL,1,FKUSR00007,FKUSR00001,NULL,NULL,NULL,Kengeri,NULL,FKKG000004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000007,unplanned,12.973175,77.6003961,0,0,"State Bank of India Road, Saint Marks Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,others,FALSE,2024-01-30 06:05:59.339+00,NULL,closed,yes,2024-02-16 01:28:18.331081+00,,,ಕಾಫಿ ಡೇ ಇಂದ ರೋಟರಿ ಸರ್ಕಲ್ ವರೆಗೆ ಬಿ ಡಬ್ಲ್ಯೂ ಎಸ್ ಎಸ್ ಬಿ ವರ್ಕ್ ನಡೆಯುತ್ತಿರುತ್ತದೆ ಟ್ರಾಫಿಕ್ ಗೆ ಯಾವುದೇ ಸಮಸ್ಯೆ ಇರುವುದಿಲ್ಲ,,,Non-corridor,Low,NULL,NULL,NULL,2024-01-30 06:08:11.015846+00,NULL,1,FKUSR00008,FKUSR00001,NULL,NULL,NULL,Cubbon Park,NULL,FKKG000005,NULL,NULL,NULL,FKUSR00008,2024-02-16 01:28:18.330429+00,NULL,NULL,NULL,NULL,NULL
FKID000008,planned,12.97883573,77.59953728,NULL,NULL,"ಲಿಂಕ್ ರಸ್ತೆ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",NULL,public_event,FALSE,2024-02-12 02:05:46+00,2024-02-12 14:05:46+00,closed,yes,2024-02-12 14:05:46.017066+00,,NULL,"Cricket Match at M Chinnaswamy Satdium, [LOCATION].",NULL,NULL,CBD 2,High,NULL,NULL,NULL,2024-01-30 05:09:41.077868+00,[],1,FKUSR00009,FKUSR00009,NULL,NULL,NULL,Cubbon Park,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QueensStatueCircle
FKID000009,unplanned,13.0373543,77.6540442,0,0,"Hennuru Road, Narayana Swamy Layout, Horamavu Agara, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",,vehicle_breakdown,FALSE,2024-01-30 05:25:50.078+00,NULL,closed,yes,2024-01-30 07:35:47.963222+00,,,,lcv,FKN00GL0004,Non-corridor,Low,NULL,NULL,NULL,2024-01-30 05:26:53.362158+00,NULL,1,FKUSR00010,FKUSR00001,NULL,NULL,NULL,Hennuru,NULL,FKKG000006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
