id,event_type,latitude,longitude,endlatitude,endlongitude,address,end_address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,direction,description,veh_type,veh_no,corridor,priority,cargo_material,reason_breakdown,age_of_truck,route_path,client_id,assigned_to_police_id,citizen_accident_id,police_station,kgid,resolved_at_address,resolved_at_latitude,resolved_at_longitude,closed_datetime,resolved_datetime,gba_identifier,zone,junction,start_hour,start_minute,start_dow,start_dow_name,start_month,start_week,is_weekend,time_of_day,is_peak_hour,is_office_return,time_slot,duration_minutes,creation_lag_minutes,is_public_holiday,holiday_name,is_ipl_day,is_public_event_day,days_to_next_holiday,is_pre_holiday,weather_condition,temperature_c,is_rain_event,is_fog_event,is_storm_event,weather_visibility_factor,geohash6,segment_length_km,is_segment_event,clearance_displacement_km,nearest_landmark,nearest_landmark_km,nearest_landmark_type,is_near_tech_hub,is_near_stadium,is_near_transit,is_near_major_landmark,hotspot_event_count,geo_total_events,reporter_avg_duration,reporter_event_count,reporter_avg_duration_shrunk,responder_corridor_avg_duration,vehicle_breakdown_freq,is_chronic_vehicle,has_citizen_corroboration,was_police_assigned,desc_has_rally,desc_has_match,desc_has_festival,desc_has_water,desc_has_tree,desc_has_accident,desc_has_power_failure,desc_has_construction,desc_has_vip,desc_has_traffic_slow,desc_has_bus,desc_has_heavy_vehicle,desc_in_kannada,veh_type_clean,lane_block_factor,is_hazmat_cargo,truck_age_tier,impact_score,impact_class,recommended_action,avoid_route_window
FKID005760,unplanned,12.9668967,77.610555,0.0,0.0,"Richmond Road, Monsignor Dsouza Circle, Ashok Nagar, Bengaluru, Karnataka. Pin-560025 (India)",,others,False,2023-11-10 00:54:48.154000+05:30,,closed,yes,,Off road in the road sailencer cutt,,,Non-corridor,Low,,,,,1,,,Ashok Nagar,FKKG000936,,,,2023-11-10 04:18:37.836256+05:30,,Bengaluru Central Corporation,Central Zone 1,D'SouzaCircle,0.0,54.0,4.0,Friday,11.0,45,0,night,0,0,3.0,203.8,-2.5256773999999997,0,none,0,0,2,0,Rainy,17.2,1,0,0,0.7,tdr1y0,0.0,0,0.0,MG_Road_Metro,1.038,metro,0,0,1,0,0,37,81.325,4.0,110.70664482306684,117.65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,1.0,0,unknown,0.6114,Medium,MONITOR,Generally clear
FKID005762,unplanned,12.9819654,77.594477,0.0,0.0,"Cubbon Road, Police Thimmaiah Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,accident,False,2023-11-10 00:58:05.033000+05:30,,closed,yes,,Traffic slow movement,,,CBD 2,High,,,,,1,,,Cubbon Park,FKKG000673,,,,,,Bengaluru Central Corporation,Central Zone 2,PoliceTimmaiahCircle(GPO),0.0,58.0,4.0,Friday,11.0,45,0,night,0,0,3.0,,-1.5883983833333335,0,none,0,0,2,0,Sunny,25.3,0,0,0,1.0,tdr1ve,0.0,0,0.0,Chinnaswamy_Stadium,0.657,stadium,0,1,0,1,0,82,,,122.45930275229357,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,unknown,1.0,0,unknown,,Critical,NO_ACTION,Generally clear
FKID005761,unplanned,12.9623447,77.5945534,0.0,0.0,"Mission Road, Ashirwadam Junction, Shanti Nagar, Bengaluru, Karnataka. Pin-560027 (India)",,vehicle_breakdown,False,2023-11-10 00:58:31.579000+05:30,,closed,yes,,No problem..,bmtc_bus,FKN00GL0960,Non-corridor,Low,,,,,1,,,Halasuru Gate,FKKG000433,,,,,,Bengaluru Central Corporation,Central Zone 2,BloodBankCircle,0.0,58.0,4.0,Friday,11.0,45,0,night,0,0,3.0,,-0.9848990333333333,0,none,0,0,2,0,Sunny,20.4,0,0,0,1.0,tdr1tx,0.0,0,0.0,Lalbagh_Garden,1.671,park,0,0,0,0,0,56,20.066666666666666,3.0,98.83023288637968,,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmtc_bus,2.5,0,unknown,,Critical,NO_ACTION,Generally clear
FKID005197,unplanned,12.9217733,77.585775,0.0,0.0,"38th Cross Road, Block 4T East, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",,water_logging,False,2023-11-10 02:21:36.296000+05:30,,closed,yes,,Traffic movement is noraml,,,Non-corridor,Low,,,,,1,,,Jayanagara,FKKG000834,,,,2023-11-14 03:01:36.702368+05:30,,Bengaluru South Corporation,South Zone 1,Arbindo Circle,2.0,21.0,4.0,Friday,11.0,45,0,night,0,0,9.0,,-1.5786128,0,none,0,0,2,0,Foggy,16.2,0,1,0,0.5,tdr1t8,0.0,0,0.0,Lalbagh_Garden,3.218,park,0,0,0,0,0,10,129.5,1.0,123.0993661384487,129.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,1.0,0,unknown,,Critical,NO_ACTION,Generally clear
FKID005763,unplanned,12.9274491,77.6214064,0.0,0.0,"1st Cross Road, Koramangala Water Tank Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",,pot_holes,False,2023-11-10 02:51:43.780000+05:30,,active,yes,,,,,IRR(Thanisandra road),High,,,,,1,,,Adugodi,FKKG000913,,,,,,Bengaluru South Corporation,South Zone 2,KoramangalaWaterTankJunc,2.0,51.0,4.0,Friday,11.0,45,0,night,0,0,11.0,,-0.4074866166666667,0,none,0,0,2,0,Sunny,21.7,0,0,0,1.0,tdr1w3,0.0,0,0.0,Koramangala,0.925,commercial,0,0,0,1,0,48,18.8,1.0,113.03572977481234,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,1.0,0,unknown,,Critical,NO_ACTION,Generally clear
FKID005764,unplanned,13.0139483,77.5658217,0.0,0.0,"Bharat Rathna Professor CN Rao Circle Underpass, CNR Rao Circle, Indian Institute of Science, Bengaluru, Karnataka. Pin-560012 (India)",,others,False,2023-11-10 03:31:24.938000+05:30,,active,yes,,Lead damage,,,Tumkur Road,High,,,,,1,,,Malleshwaram,FKKG000798,,,,,,Bengaluru West Corporation,West Zone 2,TataInstituteCircle,3.0,31.0,4.0,Friday,11.0,45,0,night,0,0,14.0,,-2.63093565,0,none,0,0,2,0,Rainy,21.3,1,0,0,0.7,tdr4j1,0.0,0,0.0,Hebbal_Flyover,4.148,junction,0,0,0,0,0,34,23.683333333333334,6.0,85.41831422018348,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,1.0,0,unknown,,Critical,NO_ACTION,Generally clear
FKID005765,unplanned,12.9647158,77.5839903,0.0,0.0,"SP Road, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",,others,False,2023-11-10 03:40:51.914000+05:30,,closed,yes,,[PERSON] no problem sir,,,Mysore Road,High,,,,,1,,,Halasuru Gate,FKKG000065,,,,2023-11-16 02:49:57.816633+05:30,,Bengaluru Central Corporation,Central Zone 2,TownhallJunction,3.0,40.0,4.0,Friday,11.0,45,0,night,0,0,14.0,,-1.2772186,0,none,0,0,2,0,Sunny,16.5,0,0,0,1.0,tdr1v2,0.0,0,0.0,KR_Market,0.951,market,0,0,0,1,0,44,49.166666666666664,3.0,105.54561750176428,49.166666666666664,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,1.0,0,unknown,,Critical,NO_ACTION,Generally clear
FKID005766,unplanned,12.9554704,77.5921748,0.0,0.0,"KH Road, BMTC Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",,vehicle_breakdown,False,2023-11-10 03:49:50.287000+05:30,,closed,yes,,,bmtc_bus,FKN00GL2829,Non-corridor,Low,,,,,1,,,Wilson Garden,FKKG000562,,,,,,Bengaluru Central Corporation,Central Zone 2,BMTCJunction-K H Road,3.0,49.0,4.0,Friday,11.0,45,0,night,0,0,15.0,,-2.6959145,0,none,0,0,2,0,Rainy,17.6,1,0,0,0.7,tdr1tw,0.0,0,0.0,Lalbagh_Garden,0.959,park,0,0,0,1,0,27,30.5,2.0,107.13275229357798,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmtc_bus,2.5,0,unknown,,Critical,NO_ACTION,Generally clear
FKID005767,unplanned,12.9581237,77.5739029,0.0,0.0,"KR Main Road, Professor P Shivshankar Circle, VV Puram, Bengaluru, Karnataka. Pin-560004 (India)",,vehicle_breakdown,False,2023-11-10 04:05:52.555000+05:30,,closed,yes,,BMTC BUS offload  K R Road shivashankar junction towords Medical College junction one side vehicle moving Sir,bmtc_bus,FKN00GL2830,Non-corridor,Low,,,,,1,,,V.V.Puram (C.Pet),FKKG000052,,,,2023-11-10 05:43:30.616095+05:30,,Bengaluru Central Corporation,Central Zone 2,Shivashankara circle,4.0,5.0,4.0,Friday,11.0,45,0,night,0,0,16.0,97.6,-3.8671968000000003,0,none,0,0,2,0,Sunny,15.600000000000001,0,0,0,1.0,tdr1tn,0.0,0,0.0,KR_Market,0.489,market,0,0,0,1,0,14,59.525,4.0,104.4780733944954,91.55,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,bmtc_bus,2.5,0,unknown,0.5795,Medium,MONITOR,Generally clear
FKID004396,unplanned,13.09094844,77.53679215,,,"HP, Hesarghatta Road, Guni Agrahara, Sector 6, Dr. Shivaram Karanth Layout, Vaderahalli, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560097, India",,accident,False,2023-11-10 04:29:04.908431+05:30,,closed,yes,,,,,Non-corridor,Low,,,,,1,,FKUSR01469,Jalahalli,,,,,,,,Central Zone 2,BEL Circle,4.0,29.0,4.0,Friday,11.0,45,0,night,0,0,17.0,,-44.50559388333333,0,none,0,0,2,0,Sunny,19.4,0,0,0,1.0,tdr4kr,0.0,0,0.0,Hebbal_Flyover,8.913,junction,0,0,0,0,0,2,,,122.45930275229357,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,1.0,0,unknown,,Critical,NO_ACTION,Generally clear
