zone,corridor,start_dow,hour_block,start_week,event_count,high_impact_count,avg_impact_score,avg_duration,peak_hour_pct,rain_pct,fog_pct,avg_visibility,avg_lane_block,road_closure_pct,tech_hub_pct,corroborated_pct,ipl_pct,holiday_pct,current_high_impact,target_next_week_high_impact,ewma_event_count,ewma_high_impact_count,ewma_avg_impact_score,lag1_event_count,lag2_event_count,lag4_event_count,lag1_high_impact_count,lag2_high_impact_count,lag4_high_impact_count,roll3_event_count,event_volatility,event_count_trend,high_impact_trend,bucket_sparsity,zone_enc,corridor_enc,risk_proba,risk_label
North Zone 2,ORR North 2,3.0,8.0,1,1,1,,,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,1.1251258850097656,0.6250648498535156,0.03676981032862568,1.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,-1.0,0,5,15,0.3122480960465609,MEDIUM
Central Zone 2,Non-corridor,1.0,8.0,1,2,0,0.49895,56.099999999999994,0.5,0.0,0.5,0.75,2.75,0.0,0.0,0.0,0.0,0.0,0,0,2.5601806640625,1.062255859375,0.3484854791838139,4.0,1.0,1.0,2.0,0.0,0.0,2.0,1.5,3.0,2.0,0,1,11,0.6700838857934093,HIGH
West Zone 2,West of Chord Road,4.0,0.0,1,1,1,,,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0156707763671875,0.0272674560546875,0.2932745901093524,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,9,21,0.06629819660623508,LOW
West Zone 2,Tumkur Road,4.0,4.0,1,2,1,1.0298,84.5,0.0,0.0,0.5,0.75,2.5,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.48357039999999996,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,9,19,0.1884480016811622,LOW
Central Zone 1,Non-corridor,4.0,4.0,1,1,1,,,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.5625,0.5625,0.0224,2.0,1.0,2.0,0.0,1.0,2.0,1.3333333333333333,0.5773502691896257,1.0,-1.0,0,0,11,0.24996170869582546,LOW
Central Zone 1,Non-corridor,5.0,8.0,1,1,1,,,0.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0,1.046875,0.953125,0.14383578947368422,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,11,0.14871794063390173,LOW
South Zone 2,Non-corridor,4.0,0.0,1,2,0,0.17935,51.85,0.0,0.0,0.5,0.75,1.75,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.40234375,0.3488749197630164,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0,7,11,0.3231420710497502,MEDIUM
South Zone 2,Non-corridor,1.0,4.0,1,1,1,,,0.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1.0,0.5,0.166,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,7,11,0.12046805205189881,LOW
South Zone 2,Non-corridor,2.0,0.0,1,1,1,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.21875,0.31808773413897273,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,7,11,0.18513958668845912,LOW
South Zone 2,IRR(Thanisandra road),6.0,0.0,1,1,1,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.9296875,0.8521734138972809,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,7,8,0.07452414867309529,LOW
